Intersection 1 Lat,Intersection 1 Lon,Intersection 2 Lat,Intersection 2 Lon,Road Name,Distance (ft)
34.0154968,-118.2933412,34.014134,-118.29335,Wisconsin Place,497.2
34.0154968,-118.2933412,34.0154961,-118.2947907,West 39th Street,438.3
34.0154961,-118.2947907,34.0154974,-118.294906,West 39th Street,34.9
34.0154961,-118.2947907,34.0141374,-118.2947884,Walton Avenue,495.7
34.0154961,-118.2947907,34.0154968,-118.2933412,West 39th Street,438.3
34.0154974,-118.294906,34.0154961,-118.2947907,West 39th Street,34.9
34.0154974,-118.294906,34.0173135,-118.2948991,Walton Avenue,662.5
34.0154974,-118.294906,34.0155036,-118.295897,West 39th Street,299.7
34.0155036,-118.295897,34.0141344,-118.2959172,South Budlong Avenue,500.1
34.0155036,-118.295897,34.0154974,-118.294906,West 39th Street,299.7
34.0155036,-118.295897,34.0164051,-118.2958752,South Budlong Avenue,329.6
34.0125938,-118.2779542,34.0141138,-118.2769934,Broadway,626.0
34.0125938,-118.2779542,34.0119865,-118.278347,Broadway,251.4
34.0125938,-118.2779542,34.0131073,-118.2791137,West 39th Street,397.6
34.0125938,-118.2779542,34.012071,-118.2767966,West 39th Street,398.6
34.0131073,-118.2791137,34.0136286,-118.2803164,West 39th Street,410.5
34.0131073,-118.2791137,34.0146224,-118.2781349,South Hill Street,627.0
34.0131073,-118.2791137,34.0125938,-118.2779542,West 39th Street,397.6
34.0131073,-118.2791137,34.0118678,-118.2799145,South Hill Street,512.9
34.0132224,-118.291509,34.0132218,-118.2916075,Leighton Avenue,29.8
34.0132224,-118.291509,34.0141326,-118.2915063,South Vermont Avenue,332.1
34.0132256,-118.2959245,34.0132218,-118.2916075,Leighton Avenue,1305.5
34.0132256,-118.2959245,34.0120911,-118.2959134,South Budlong Avenue,413.9
34.0132256,-118.2959245,34.0141344,-118.2959172,South Budlong Avenue,331.5
34.014134,-118.29335,34.0141374,-118.2947884,West 39th Place,435.0
34.014134,-118.29335,34.0141376,-118.2925292,West 39th Place,248.2
34.014134,-118.29335,34.0154968,-118.2933412,Wisconsin Place,497.2
34.0273179,-118.297002,34.0255152,-118.2970054,Van Buren Place,657.7
34.0273179,-118.297002,34.0291244,-118.2970119,Van Buren Place,659.1
34.0273179,-118.297002,34.0273164,-118.2980881,West 30th Street,328.4
34.0273179,-118.297002,34.0273194,-118.2959206,West 30th Street,327.0
34.0273164,-118.2980881,34.0255189,-118.2980869,Raymond Avenue,655.8
34.0273164,-118.2980881,34.0291223,-118.298095,Raymond Avenue,658.8
34.0273164,-118.2980881,34.0273179,-118.297002,West 30th Street,328.4
34.0227478,-118.2728666,34.0219213,-118.2734113,South Hill Street,343.6
34.0227478,-118.2728666,34.0229651,-118.2733544,West 30th Street,167.4
34.0229651,-118.2733544,34.0233687,-118.2742603,West 30th Street,311.0
34.0229651,-118.2733544,34.0227478,-118.2728666,West 30th Street,167.4
34.0239808,-118.2756341,34.0254907,-118.2746765,South Hope Street,622.3
34.0239808,-118.2756341,34.0233687,-118.2742603,West 30th Street,471.6
34.0239808,-118.2756341,34.0245305,-118.2768228,West 30th Street,412.0
34.0250489,-118.2780079,34.0257884,-118.2796882,West 30th Street,575.3
34.0250489,-118.2780079,34.0245305,-118.2768228,West 30th Street,405.2
34.0250489,-118.2780079,34.0257995,-118.2775312,South Figueroa Street,309.5
34.0250489,-118.2780079,34.0241479,-118.2785786,South Figueroa Street,371.2
34.027399,-118.2839787,34.028386,-118.2839685,South Hoover Street,360.1
34.027399,-118.2839787,34.0255164,-118.2839646,South Hoover Street,686.9
34.027399,-118.2839787,34.0274057,-118.2849862,West 30th Street,304.6
34.027399,-118.2839787,34.0266861,-118.2817844,West 30th Street,723.9
34.0274057,-118.2849862,34.0274278,-118.2861757,West 30th Street,367.4
34.0274057,-118.2849862,34.0271193,-118.2857663,McClintock Avenue,278.2
34.0274057,-118.2849862,34.027399,-118.2839787,West 30th Street,304.6
34.0274328,-118.2882375,34.0255479,-118.2882466,Orchard Avenue,687.8
34.0274328,-118.2882375,34.028393,-118.2882305,Orchard Avenue,350.3
34.0274328,-118.2882375,34.0274334,-118.2915591,West 30th Street,1004.3
34.0274328,-118.2882375,34.0274278,-118.2861757,West 30th Street,623.4
34.027173,-118.2937357,34.0271706,-118.294828,West 30th Street,330.3
34.027173,-118.2937357,34.0268778,-118.2937337,South Catalina Street,107.7
34.027173,-118.2937357,34.0277744,-118.2937341,South Catalina Street,219.4
34.0271706,-118.294828,34.0271655,-118.2959192,West 30th Street,329.9
34.0271706,-118.294828,34.027173,-118.2937357,West 30th Street,330.3
34.0271706,-118.294828,34.0255129,-118.2948454,Walton Avenue,605.0
34.0271706,-118.294828,34.0286572,-118.2948204,Walton Avenue,542.3
34.0271655,-118.2959192,34.0273194,-118.2959206,Budlong Avenue,56.1
34.0271655,-118.2959192,34.0271706,-118.294828,West 30th Street,329.9
34.0271655,-118.2959192,34.0255152,-118.295905,Budlong Avenue,602.3
34.0277744,-118.2937341,34.0277678,-118.2915609,West 30th Street,657.1
34.0277744,-118.2937341,34.027173,-118.2937357,South Catalina Street,219.4
34.0277744,-118.2937341,34.0286605,-118.293735,South Catalina Street,323.3
34.0319473,-118.2766985,34.0323408,-118.2775943,West 23rd Street,306.5
34.0319473,-118.2766985,34.0310851,-118.2749725,West 23rd Street,612.2
34.0220363,-118.2944101,34.0220736,-118.2938304,West 36th Place,175.8
34.0220363,-118.2944101,34.0209646,-118.2944339,South Catalina Avenue,391.6
34.0220363,-118.2944101,34.0219465,-118.2959543,West 36th Place,468.1
34.0209646,-118.2944339,34.0220363,-118.2944101,South Catalina Avenue,391.6
34.0209646,-118.2944339,34.0209699,-118.2977342,West 37th Street,997.9
34.0209646,-118.2944339,34.0209628,-118.292165,West 37th Street,686.1
34.0209646,-118.2944339,34.0199597,-118.2944316,South Catalina Street,366.6
34.0260891,-118.2773482,34.0277432,-118.2810824,West 28th Street,1280.2
34.0260891,-118.2773482,34.0257995,-118.2775312,South Figueroa Street,119.3
34.0260891,-118.2773482,34.0265529,-118.2770464,South Figueroa Street,192.3
34.0277432,-118.2810824,34.028245,-118.2822152,West 28th Street,388.3
